동영상제목,조회수,좋아요수,게시일,댓글내용,댓글작성자,댓글좋아요수,댓글작성일
,,,,"음 좋은 영상인데 한 가지 추가 의견이 있습니다. 저도 평소 사이드 프로젝트를 하는데, 하다보면 애플리케이션 규모에 따라, 중간중간에 추상화랑 코드 정리를 섞어가며 하는게 더 빠른 경우도 있는 것 같습니다.  복잡한 앱을 계속 스파게티로만 짤 수는 없는듯요.",@클라우드워커,6,2024-10-06T12:51:20Z
,,,,니꼬썜 영상을 보고 개발을 시작했는데 이제 1년차 개발자가 되었고 며칠전 이직도 했습니다. 요즘 좀 슬럼프였는데 영상보고 엄청 자극받고 열정 재충전하고갑니다!,@kirsh0257,3,2024-10-07T13:49:52Z
,,,,정말 소중하고 중요한 내용 감사드립니다 ㅎ,@frisaudr2002cjfeh,7,2024-10-06T12:37:09Z
,,,,"핵심은, 지식을 알면 알수록 비효율적인 문제(=해결 해야 할 문제. 아이디어.)가 눈에 더 많이 보인다는 거네요. 엄청나게 다양한 분야를 얕게 공부해 놓으면 되겠네요. 결론은 시간(공부)싸움.",@물병자리-e4d,1,2024-10-07T11:00:47Z
,,,,4:14  제 인생 자체를 설명하는 것 같아 뜨끔합니다!!!,@인생역정-z9o,2,2024-10-06T16:57:59Z
,,,,일상 속 사소한 불편함에 관심을 가지면 아이디어가 하나 이상 생기는 매직,@Steinich,32,2024-10-06T11:17:47Z
코딩으로 원하는 인생 사는 법,44554,1968,2024-09-22T11:30:31Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 NextJS 14 시작하기 (무료) 🔥
https://bit.ly/4cCtQnE",@nomadcoders,13,2024-09-22T12:04:48Z
,,,,"직장으로써의 프로그래머가 아닌, 단순히 '프로그래밍'이라는 행위의 관점에서 보았을 때 정말 격하게 공감하며 시청한 영상이었습니다.
프로그래밍의 가장 매력적인 점은 자신의 노력과 시간이라는 투입만으로 누구나 자신의 상상을 눈 앞에 실현할 수 있다는 점이 아닐까요?
특히, 수공예와 같은 정적인 창조도 특유의 창조의 즐거움을 누릴 수 있지만, 프로그래밍으로 자신만의 산출물을 만들어내는 것은 마치 스스로 사고하고, 판단하며, 작동하는 새로운 존재를 창조하는 것과 같은 기쁨을 제게 선사합니다. 때로는 말썽을 피우며 작동하지 않기도 하지만, 잘 살피고 돌본다면 놀라울 정도로 성장하는 자식을 마주하는 것과 같은 기분입니다.
공감할 수 있는 개인적인 경험과 생각을 공유하는 영상을 선물해주셔서 정말로 감사드립니다.
늘 좋은 영상과 강의에 감사드립니다.",@Luna_Kisaragi,67,2024-09-22T15:00:26Z
,,,,"전제 조건으로 끈기가 추가되면 완벽할 것 같습니다. 누구나 쉽게 도전 할 수 있겠으나 이루어내기 위해서는 끈기와 열망, 열정이 더 중요한것 같습니다. 이 여정은 절대 쉽지만은 않은 것도 사실입니다.",@study-dev,12,2024-09-24T00:21:32Z
,,,,"진짜 너무 공감해요
노트북한대만 있다면 무에서 유를 창조할 수 있다 이게 진짜 큰 매력인거 같아요",@hihihihi6154,9,2024-09-27T04:02:16Z
,,,,양지쪽엔 니콜라스형이 있고 음지쪽엔 코딩애플이 있다,@dbc1050,32,2024-09-23T02:29:11Z
,,,,코딩을 코딩으로만 생각하면 정말 힘들 때가 있는데 인생과 함께하는 것이고 인생과 같이 변화될 수 있다는 생각을 하니까 용기가 샘솟는 것 같습니다. 감사합니다.,@IlIlllIlIllIIl,9,2024-09-22T23:47:10Z
,,,,애기 귀여웡~ 육아 화이팅!,@direc3607,45,2024-09-22T11:36:16Z
,,,,취준으로 시야가 좁아지던 찰나에 좋은 영상 감사합니다 👍👍,@ywb000218,17,2024-09-22T12:14:45Z
,,,,"학교에서 C++을 배우며 게임 개발의 꿈을 키우지만...
솔직히 이해도 잘 안가고..
내가 정말 이걸 할 수 있나 두렵기도 하고..
시간 낭비만 하는 것만 같고...

꽤 힘든 시기를 겪고 있었는데 
영상 보며 용기 얻고 갑니다..
투덜 댈 시간에 코드 하나라도 더 읽어야겠죠",@김보리-h2v,8,2024-09-23T15:38:15Z
,,,,취준으로 고민과 좌절 중에 좋은 동기부여가 되는 영상이네요. 감사합니다!,@bleckbleckbleck,22,2024-09-22T11:54:35Z
DB 고민 끝내드림 💥,59933,1576,2024-09-08T11:30:25Z,"🔥 니꼬쌤과 공부하는 SQL 마스터클래스 🔥 
https://bit.ly/4dKJ3TW
.
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 NextJS 14 시작하기 (무료) 🔥
https://bit.ly/4cCtQnE
.
🔥 당근마켓 클론코딩 (2024 최신 버전) 🔥
https://bit.ly/4aaaZyK",@nomadcoders,5,2024-09-08T11:38:28Z
,,,,뭔가 늘 필요한 시점에 필요한 내용 딱찝어주시네요. 소름,@GreedHo-h1c,15,2024-09-08T11:52:53Z
,,,,와 데이터베이스부터 정하는 게 정말 중요한 것 같아요. 적합한 데이터베이스 특징과 데이터베이스를 선택하는 기준도 알려주셔서 정말 좋은 영상이었던 것 같아요.👍,@IlIlllIlIllIIl,16,2024-09-08T12:38:18Z
,,,,"전 사내에서 100명 정도가 쓰는 툴 만들 때, sqlite도 귀찮아서 그냥 스토리지에 csv로 저장하게 만든 적도 있었는데, 그것도 수년 동안 그냥 잘 돌아갔습니다. 지금도 잘 돌아간다네요. 사실 대부분의 어플리케이션은 sqlite면 충분하지 않나 합니다.",@우석장-f3n,35,2024-09-08T14:27:41Z
,,,,말 점점 빨라지네,@수리부엉이-s8o,4,2024-09-11T10:11:00Z
,,,,"규모 있는 회사는 확실히 책임져 주는 오라클, sql server 를 씁니다.",@okcharles7,4,2024-09-11T20:36:39Z
,,,,"좋은내용 감사합니다
SqlLite 내용 알아갑니다ㅎ",@Son-lm5mf,4,2024-09-08T11:49:31Z
,,,,1년차 데이터 엔지니어입니다. spark sql 이랑 hive 씁니다. 작년까진 개발로 꿀이였고 올해는 최적화한다고 극한의 극한까지 쥐여짜여지고 있습니다..,@MonkTheWorldTree,3,2024-09-09T16:33:23Z
,,,,"개발자의 시각 vs 운영자의 시각... 전혀 다르죠... 동작하게 한다 vs 엄청난 트래픽을 버티게 한다, 기능이 많다 vs 필요한 기능에 특화되어 있다. 익스텐션의 사용에 따른 추가 튜닝등... 고트래픽 서비스를 개발자가 로컬에서 postgresql 기반으로 뚝딱 개발해서  고 트래픽을 버티지 못하니 Citus나 hyperscale 쓰자면서 가지고 오거나 pg_bouncer나 rds proxy로 버티면 되지 라며 가져오면 규모 있는 회사라면...",@zzizimholic,18,2024-09-08T12:10:58Z
,,,,New youtube editor for you? Somehow feel like it but yeah like the edit!,@jonathanpark873,2,2024-09-08T11:35:29Z
3분 안에 디스코드 앱 만들기?,27279,761,2024-08-25T11:30:13Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 풀스택 GPT (2024 최신) 🔥
https://bit.ly/3VhITwB
.
🔥 NextJS 14 시작하기 (무료) 🔥
https://bit.ly/4cCtQnE
.
🔥 당근마켓 클론코딩 (2024 최신) 🔥
https://bit.ly/4aaaZyK",@nomadcoders,6,2024-08-25T11:41:21Z
,,,,영상편집에 이용하시는 효과음 어디서 받아오시나요? 예전부터 영상봤는데 너무 적절히 귀가 안심심하게 잘넣으시는것같아요,@ytprmwh3147,19,2024-08-25T12:15:37Z
,,,,요즘 여기저기에서 디스코드 참 많이 쓰는거 같은데 좋은 영상이네요,@zzangsu,15,2024-08-25T11:32:15Z
,,,,정말 사업하시는 분들이라면 디스코드 생태계에 서비스를 확장할 수 있는 좋은 기회가 되겠어요. Thank Nico!!,@박헌남,3,2024-08-25T14:01:52Z
,,,,드디어 디스코드에서 제가 원하는 앱을!!!!!!!!!,@Boyangsic,2,2024-08-25T12:03:24Z
,,,,항상 유용한 정보 감사합니다. 사이드 프로젝트각👍👍,@GreedHo-h1c,3,2024-08-25T12:20:30Z
,,,,"호옹 스트리머들끼리나 스트리머와 시청자가 참여하는 게임이 더 많이 늘어날 수 있겠네요
컨텐츠 크리에이터는 협업하는 사람들과 함께 원격지에서 작업할때 더 괜찮은 헙업툴이 나올 수 있고
무엇보다도 흔히들 말하는 슈퍼앱이 됄 가능성까지도 볼 수 있을거 같다는 생각이 드네요",@Do_not_touch_me-b5i,1,2024-08-26T04:26:11Z
,,,,개발만 할 줄 알면 즐겁게(?) 할 수 있는 일들이 너무 많아진 시대에 개발을 안배운다는 건 진짜 실수.. 하지만 개발을 할 줄 알게되면 할 수 있는 게 너무 많아져서 피곤함 ㅠㅠㅠ,@jkijljbnj7165,1,2024-08-27T03:29:58Z
,,,,와 좋아보이네요,@markeb54,3,2024-08-25T11:56:02Z
,,,,Nice. Will give it a go,@jonathanpark873,2,2024-08-25T13:05:11Z
2억 4천만 유저 커버치는 비법?,29648,745,2024-08-11T11:30:19Z,📌 Stream의 무료 Video & Audio SDK 알아보기 : https://getstream.io/video/sdk/android/?utm_source=youtube&utm_medium=referral&utm_content=&utm_campaign=nomadcoders,@nomadcoders,9,2024-08-11T11:37:08Z
,,,,하지만 망사용료는 못피하는,@largo9963,124,2024-08-11T11:35:06Z
,,,,2억4천 유저를 스트리밍할정도로 개지리는 아키텍쳐지만 한국에 매콤한 망사용료에 빤스런해버렸다...,@남똘이,192,2024-08-11T11:36:35Z
,,,,"기업의 역사도 배우고 수많은 유저, 스트리머, 동영상, 트래픽을 모두 처리하는 기술에 대해서도 알게 되어서 정말 좋은 거 같아요.",@IlIlllIlIllIIl,15,2024-08-11T22:41:54Z
,,,,"마침 필요한 내용이었는데, 감사합니다 ❤❤❤",@GreedHo-h1c,16,2024-08-11T11:41:47Z
,,,,"킹치만 이런 대단한 기술력도 망사용료 앞에선 무용지물... 

그리드망으로 연명해야하는 IT강국(ㅋ)의 위엄이란",@sdrawesdfs,14,2024-08-11T11:51:04Z
,,,,"예전 영상에서 댓글로 트위치에 대한 설명을 부탁드렸었는데 정말로 해주셨군요!!
감사히 잘보겠습니다, 고맙습니다!! 👍👍👍",@WGOh-u9g,2,2024-08-11T11:51:39Z
,,,,지금 덩치있는 IT 기업들 아이디어를 가지고 작게 시작해서 이렇게 크게 성장했네요! 👍👍👍크게 성장하는 과정이 되게 재미있습니다!,@ywb000218,3,2024-08-11T15:06:19Z
,,,,니꼬쌤 오늘도 잘 보고 지식이 늘었어요 감사합니다.,@2029-b7h,1,2024-08-12T16:07:49Z
,,,,니콜라스형의 플루터 교육덕분에 앱을 배포했어!!Thanks!,@hulkcodeer6978,3,2024-08-11T11:38:16Z
(⚠️ 업데이트) 최악의 IT 대란이 일어난 진짜 이유는?,32876,707,2024-07-28T11:30:05Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 풀스택 GPT (2024 최신 버전) 🔥
https://bit.ly/3VhITwB
.
🔥 NextJS 14 시작하기 (무료) 🔥
https://bit.ly/4cCtQnE
.
🔥 당근마켓 클론코딩 (2024 최신 버전) 🔥
https://bit.ly/4aaaZyK",@nomadcoders,1,2024-07-28T12:14:13Z
,,,,구체적인 원인이 뭔지 알려주는 업데이트 좋습니다👍👍,@twinstr,40,2024-07-28T11:37:10Z
,,,,제대로 알아보진 않고 들려오는 소식으로만 들었어서 MS문제라길래 그런가보다 했었는데 보다 자세한 설명영상 감사합니다.,@IIEmoTicoNII,16,2024-07-28T11:50:17Z
,,,,"여러가지 요소가 겹치고 겹쳐서 나 혼자 코딩할때도 자주 보였던 잘못된 인덱스 참조로 이런 크리티컬한 오류가 일어났다니 ㄷㄷ
그나저나 말로만 들어도 이렇게 복잡한데 어떻게 오류를 찾아냈을까요? 어떤식으로 원인이 될만한 요소들의 후보들을 예상하고 찾아냈을지 궁금하네요",@강태희-r5x,18,2024-07-28T12:15:28Z
,,,,루트 권한 있는 프로그램에 end-to-end 테스트나 fractional deployment 안 한 것도 놀랍네요,@user-yk3sf9is2u,8,2024-07-28T18:28:36Z
,,,,3:16 포켓로그 보고 빵 터졌어요😂 썸네일도 그렇고 밈 소스 고르시는 안목이 탁월하십니다,@chlee8261,25,2024-07-28T12:33:16Z
,,,,"어느 교수님의 인터뷰 영상에서도 한,두개 정도의 소수 솔루션으로 너무 많은 시스템에 적용되는걸 피했으면 피해가 덜 했을거다 라고 말하던데 비슷한 결론이네요",@APROBONG,6,2024-07-28T13:25:23Z
,,,,"최소한 단 한개의 고객 pc한테만 제한적으로 뿌려봤다면 ...
그나저나 요약도 힘드네
민감한 커널 영역에서 실행되는 팔콘 센서 프로그램이 동작되기 전 참조하는
코드 몇 줄이 잘못된 걸 못 잡아낸 크라우드스크라이크의 콘텐츠 유효성 검사기의 잘못이라니!",@flyingpan2639,7,2024-07-28T23:09:01Z
,,,,심슨 짤방 너무 좋아요 ㅋㅋㅋㅋ,@shinbart7554,3,2024-07-29T09:17:51Z
,,,,"배포하기 전에 로컬 컴퓨터에서 한번 테스트 하면 거를 수 있는 문제인데, 유효성 검사 툴 하나에 의존했나; 그런 부실한 검증 체계를 가진 업체에 전세계 수많은 기업들이 의존하고 있었다니...",@slowkim2548,4,2024-07-29T02:04:53Z
내가 더이상 코파일럿을 쓰지않는 이유,85787,2012,2024-07-14T11:30:21Z,하지만 짜증내지도 않고 묻는대(정확하진 않지만) 대답 해주는 존재가 있다는게 넘 조아요...,@user-qsIoLpzujHimn,71,2024-07-15T11:06:23Z
,,,,"이게 맞기도 하구요, 또  AI를 잘 쓰려면 결국 스스로 공부한 내용을 기반으로 키워드를 다루게 되는데
처음부터 AI에 모든걸 의존해버리면 기반 지식이 없으니 활용조차도 할 수 없더라구요",@이창호-s4q,172,2024-07-14T11:46:03Z
,,,,"AI 이전 : 문제를 해결하기 위해 고민하고 공부함
AI 이후 : 이 쉥키가 왜 이런 답변을 하는지에 대해 고민하고 질문을 반복함",@spaceneat,138,2024-07-14T17:22:01Z
,,,,새로운 기술이 나오면 항상 발생하는 주객전도 현상을 잘 집어주셨네요. 어느 기술이든 내실이 중요합니다.,@uhd_tech,15,2024-07-14T14:58:11Z
,,,,이게 답이다....결국 문제해결해 주지만 난 문제 해결능력이 생기지는 않지... 일명 삽질을 해보지 않을경우 머리에 남는게 없고 나중에 시간이 지나도 다른데 의존해야 되지....,@jasoncrbt,6,2024-07-15T20:44:18Z
,,,,"IDE가 막 나왔을때도 교수님들은 그런거 쓰지 말라했었던 기억이....
꾸역꾸역 종이에 손으로 코딩하게 하던 시절이 생각나네요.
IDE 자동완성 안쓰고 메모장에 코딩했으면 더 좋은 개발자가 되었을까? 글쎄....
오늘날 IDE없이 코딩하는 게 상상하기 어려운 것 처럼 AI없이 코딩하는 것도 점점 상상하기 어려워지고 있고
IDE의 등장이 코딩 스타일과 패러다임에 많은 영향을 줬던 것 처럼 AI기반 코딩도 비슷한 과정으로 진행되고 있습니다.
코딩을 훈련하고 학습해야하는 학문으로 생각하느냐, 무언가를 만들어내는 도구로 생각하느냐에 따라 사용여부가 달라지겠네요.
일단 저는 앞으로도 계속 사용할것같습니다.",@메르보,127,2024-07-14T11:59:35Z
,,,,저도 최근에 느끼고 있던 부분인데 너무 공감되요! 제 코딩 뇌 시냅스가 점점 사라지는 느낌 😢,@honggirin,10,2024-07-14T13:05:23Z
,,,,"코파일럿은 안써봐서 모르겠으나
GPT는 제가 구현하고자 하는 기능에 대한 알고리즘이나 기능에 대해서 만들어달라고 하고 (무슨 알고리즘이 있는지 모르는 초보자한테 유용함)
그걸 제가 이해하기 전까진 적용하지 않습니다. 
어자피 유지보수는 GPT가 아닌 제가 해야 하는지라 C+V 하기엔 좀 부담스럽더라고요. 

그러나 GPT가 좋은 게 코드 한 줄마다 주석으로 어떤 기능을 담당하고 굴러가는지 적어달라고 하니 이해하는 속도가 빨라져서 좋다는 점 과 비유를 통해서 설명해달라고 하면 가끔 틀린 비유를 하긴 하지만 초보자 입장에선 충분히 이해하기 쉬운 예시들을 잘 설명해주는 지라 계속 쓸 수 밖에 없더라고요",@사쿠노,26,2024-07-14T13:06:20Z
,,,,"chat gpt를 사용하고 한참을 해맨 이후, 내가 뭘 한거지 하는 느낌을 받습니다.
그제서야 문제 해결을 위한 흐름을 적고 수도 코드를 작성한 후 코드를 작성하게 되는 경우가 많습니다.
오늘 영상을 보면서 스스로를 반성하게 되고 저도 기술에 의존적이지 않게 되기 위해 chatgpt는 꺼두고 작업을 해야겠습니다.",@ryjun93,54,2024-07-14T11:56:24Z
,,,,거의 동의합니다 특히 2가지이상 언어를 사용중이라면.. 저는 제 1순위 언어는 코파일럿을 사용하고 나머지 언어들에서는 끕니다.,@jaeuchoi9948,6,2024-07-14T14:29:53Z
최고의 회원가입 UI 모음 ㅋㅋㅋ,99051,2853,2024-06-30T11:30:11Z,제가 겪은 제일 충격적인 국가 선택은 Taehanminguk이었어요,@wonseok_song,255,2024-07-24T01:08:08Z
,,,,4:14 이것 때문에 국가 선택하는 창 나오면 한숨부터 ㅋㅋㅋㅋ,@sesburg,320,2024-06-30T19:43:05Z
,,,,1:49 이건 진짜 얼탱이가 없네ㅋㅋㅋㅋ,@만삣삐-i8n,397,2024-06-30T11:36:50Z
,,,,4:17 격하게 공감,@sanikayadav9996,46,2024-07-01T06:40:12Z
,,,,0:14 it predicted the password game lmao,@IunahYT,71,2024-07-08T17:19:38Z
,,,,왜 다들 썸넬 엉망진창이 아닌 엉망잔칭은 말을 안하는거냐구 ㅋㅋㅋㅋㅋ,@성이름-q7j5h,55,2024-07-12T07:12:35Z
,,,,인터페이스 제작에 참고할 최고의 영상,@정환희-y3h,116,2024-06-30T11:37:13Z
,,,,와 듀오링고로 보내는건 진짜 사용자에게 도움되넼ㅋㅋㅋㅋㅋ,@qebj,43,2024-06-30T15:30:33Z
,,,,"I dont know why this got recommended to me, i dont know why its korean, but i dont mind",@skyr3x,26,2024-07-07T19:41:34Z
,,,,"2:19 별명 선택용으로 쓰면 좋을
2:41 재미 1
3:00 마우스 고장났을 때 유용한
5:41 약관 읽히기 1
6:00 재미 2
7:22 신뢰
7:49 재미 3
8:30 약관 읽히기 2
10:00 암실에서 작업하는 사람들을 위해

4:13 진짜 공감합니다",@bloverprimal5086,0,2024-08-16T13:31:12Z
아빠가 된 개발자는 AI 에이전트를 어떻게 활용할까?,34390,1128,2024-06-16T11:30:00Z,"🔥 풀스택 GPT (2024 최신 버전) 🔥
https://bit.ly/3VhITwB
.
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 당근마켓 클론코딩 (2024 최신 버전) 🔥
https://bit.ly/4aaaZyK",@nomadcoders,14,2024-06-16T11:41:46Z
,,,,멋진 AI 활용법이군요. 아빠된 거 축하드려요.,@unhakim7415,5,2024-06-17T03:11:25Z
,,,,축하드려요~~ 육아는 언제 자동화 시킬 수 있을까요 ㅎㅎ,@twinstr,51,2024-06-16T11:37:12Z
,,,,축하드립니다~~!!,@yeonjunjung1431,5,2024-06-16T11:36:56Z
,,,,항상 실용성 있고 재미있는  정보 제공해줘서 고맙습니다. 아빠가 된 걸 축하합니다.,@einspannerfavorite,4,2024-06-16T11:47:19Z
,,,,와우 축하드려요~~.!,@hjrr6471,6,2024-06-16T11:33:16Z
,,,,"As always your channel is so valuable, I didn’t know about those tools and it’s very promising. Thank you very much !",@wolfwoof2000,1,2024-06-18T07:11:24Z
,,,,쩐당 역시 최고에요,@tobel9084,3,2024-06-18T16:14:01Z
,,,,축하합니다^^,@TV-nb9wn,2,2024-06-16T11:55:43Z
,,,,축하합니다🎉🎉🎉,@Organic_dev,1,2024-06-18T09:53:48Z
API를 구축하는 가장 좋은 방법은?,32851,723,2024-06-02T11:30:03Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 풀스택 GPT (2024 최신 버전) 🔥
https://bit.ly/3VhITwB
.
🔥 NextJS 14 시작하기 (무료) 🔥
https://bit.ly/4cCtQnE
.
🔥 당근마켓 클론코딩 (2024 최신 버전) 🔥
https://bit.ly/4aaaZyK",@nomadcoders,3,2024-06-02T23:36:59Z
,,,,T3 스택이라는걸 사용하면 간단하게 Nextjs + Typescript + Tailwind 셋업 할 수 있어요! 개인 프로젝트 할때 써봤는데 개발속도 엄청 빠르더라고요!,@최기환-y1n,8,2024-06-03T00:48:53Z
,,,,니꼬쌤 혹시 여러 개발용어를 알려주는 영상은 어떠신가요? 개발을 시작하는 사람들에게 많은 도움이 될 것 같습니다!,@감자-x4k,7,2024-06-02T17:48:13Z
,,,,Trpc의 장단점 영상도 있으면 좋을 것 같습니다~😊,@kyujong93,15,2024-06-02T13:15:23Z
,,,,니꼬쌤님 최신 기술 동향 매번 감사해요.,@2029-b7h,14,2024-06-02T12:17:38Z
,,,,좋은 영상 감사합니다~ 😀,@IcedCaffeLatteLover,2,2024-06-03T03:33:15Z
,,,,풀스택 개발자가 되기 위한 아주 좋은 API 생성 도구를 발견한 것 같아요!,@스바-t1o,4,2024-06-02T11:58:55Z
,,,,조그만 서비스에는 유연하게 붙일 수 있을 거같아서 좋아보이더라구요,@vankuship8362,2,2024-06-03T00:33:38Z
,,,,graphQL 안하길 잘했다(?),@purplelightfullmoon,41,2024-06-02T11:31:41Z
,,,,대박이네용 ..,@마띠뉴-jiwoo,2,2024-06-02T13:18:38Z
지그 (Zig)가 새로운 C가 될 수 있을까?,36544,716,2024-05-19T12:30:18Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 NextJS 14 시작하기 (무료) 🔥
https://bit.ly/4cCtQnE
.
🔥 당근마켓 클론코딩 (2024 최신 버전) 🔥
https://bit.ly/4aaaZyK",@nomadcoders,4,2024-05-19T12:40:03Z
,,,,"미국에서도 Zig에 대한 이야기가 나오고 있어서 언제쯤 다뤄주실까 궁금했는데 드디어 나오네요! 아직은 업데이트도 많이 필요하고, 어떻게 C를 대체할지 많이 고민들 하는 것 같습니다. 내년에는 어떻게 바뀌어 있을지 궁금하네요!",@정하은-h6s,27,2024-05-19T12:32:21Z
,,,,"예전에 Zig에 대한 영상을 봤을때 가장 큰 문제점이었던 것이 개발의 거의 모든 부분을 한 사람이 수행하고 있다는 점이었는데, 더 많은 사람들이 참여해서 이런 한계점들이 해결됐으면 하네요",@fumi_,3,2024-05-20T07:01:09Z
,,,,"Zig 매우 간단하고 멋있는 언어네요. ❤❤❤
저도 지그 언어 배우고 싶네요.
유익한 영상 감사합니다.",@ssscsss-f2p,11,2024-05-19T12:44:56Z
,,,,Congraturation for baby!😊,@광익조-o1w,8,2024-05-19T13:18:56Z
,,,,"정말 유용하고 공부가 돼요.
구독해두길 정말 잘한 채널이란 생각이 들어요! ㅎㅎ",@JusticeRaccoon,5,2024-05-19T14:13:30Z
,,,,C killer는 오고 갔으나 C는 계속 그자리에 있었다,@5pm_Hazyblue,7,2024-05-20T01:31:58Z
,,,,"구조체에 메서드가 된다니 신기하네요.
설명해주신 것도 이해가 너무 잘 되네요. 감사합니다.",@IlIlllIlIllIIl,2,2024-05-19T13:01:57Z
,,,,"Zig's memory management approach is likely to be influenced too much by the performance of runtime environments. 
As C/C++ has been, it shows that the minimum specifications of the program must be set very small and developed. 
Also, I think that a lack of knowledge of the developer can create a big issue.",@phw1009,3,2024-05-19T16:13:03Z
,,,,굉장히 독특한 철학을 가지고 있는 재미있는 언어네요,@sloan00,4,2024-05-19T13:52:39Z
이 데이터베이스는 99.9%의 웹사이트에 완벽합니다.,56531,1304,2024-05-06T11:45:00Z,"💪🏻 니꼬쌤과 공부하는 SQL 마스터클래스!
https://bit.ly/4dKJ3TW",@nomadcoders,6,2024-05-06T11:47:46Z
,,,,"지난번 인스타그램 영상과 마찬가지로 이번 영상에서 가장 큰 교훈은 너무 앞서서 생각하지 말라는 거네요
이번 영상도 감사합니다!",@markeb54,10,2024-05-06T12:52:39Z
,,,,와 나 지금 sqlite가지고 작업중인데.. 너무 좋습니다! 완벽하게 포터블하기도 하고요.,@plutonium-chicken,7,2024-05-07T04:09:01Z
,,,,"자막에 오역이 있습니다.
0:21 ""작다, 빠르다, 믿을 수 있다, 중 3개 고르세요""가 맞습니다. 자막은 셋 중 하나만 고르라는 얘기 같잖아요.",@CDnX,23,2024-05-06T11:52:01Z
,,,,"2:30 에 대해서 찾아보니, 다량의 크기가 작은 데이터를 파일시스템에 쓸 때를 테스트했네요. c의 fopen, fclose 오버헤드 때문에 다량의 바이너리을 쓸때 느린거고, 반면에 단순히 한 번 열고 닫으면 되는 sqlite가 빠른듯.",@joyhoon,2,2024-05-11T00:06:58Z
,,,,Amazing video as always! Thank you Nicoo...And I would love to watch that sql course :),@EllieT7,3,2024-05-08T15:13:30Z
,,,,"Oh and yes, please make a course on SQL!!!!",@jonathanpark873,2,2024-05-11T07:52:29Z
,,,,예전에 플루터로 모바일앱 만들 때... 정말 도움을 많이 받을 수 있었던 SQLite... 엣지 디바이스기반 DB 구축할 때는 SQLite가 좋은 선택입니다.,@건강나라-f3v,1,2024-05-16T23:27:56Z
,,,,Turso나 Cloudflare 를이용해 멀티테넌트를 관리하는 앱 강좌가 있었으면좋겠어요  react + tailwind + ...,@justjustIT,4,2024-05-07T07:09:34Z
,,,,"이 형 진짜 말 빠르시네... 암튼 지금 저에게 딱 필요한 영상인데, 좋은 영상 감사합니다!",@최준하-p4e,11,2024-05-06T12:31:47Z
누구나 코딩으로 영상 편집 하는 방법..!?,24654,920,2024-04-20T12:15:03Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC
.
🔥 NextJS 14 시작하기 (무료) 🔥
https://bit.ly/4cCtQnE
.
🔥 당근마켓 클론코딩 (2024 최신 버전) 🔥
https://bit.ly/4aaaZyK😊",@nomadcoders,3,2024-04-20T12:20:52Z
,,,,인공지능학습용데이터 국책사업 매년 운영하는데 위 툴 기획 및 실 운영에서 잘 사용하고 있어요❤,@brandlee5089,5,2024-04-20T23:37:28Z
,,,,"오호~~! 증말로 개발자스럽게 동영상을 편집할 수 있군요... 
하지만 실제로 쓰시는 분은 얼마나 있을런지?
새로운 정보 감사합니다.",@chuuny,5,2024-04-21T07:12:50Z
,,,,Bro your channel is goldmine and underrated love from india.,@HistoryUnstable,13,2024-04-20T12:28:07Z
,,,,영상 만들 일 생겨서 어떻게 하나 했는데 바로 이런 영상을 올려주시다니 감사합니다!!,@전진성-y4i,6,2024-04-20T13:05:30Z
,,,,평소에는 다빈치 리졸브 쓸게요.. 너무 어렵고 번거로워요.. 이게 익숙한게 좋습니다. 그래도 아주 특별한 경우에는 쓸게 되긴 할 것 같네요. 좋은 정보 감사합니당,@user-allgrownup,2,2024-04-23T01:20:31Z
,,,,"나온 내용으로 봐서 ffmpeg는 영상을 여러 개의 이미지로 쪼개거나, 장면 상관없이 짧은 영상들을 만들 때 유용할 거 같네요.",@yeonjunjung1431,1,2024-04-20T23:22:43Z
,,,,"저런게 있어서 어도비 익스프레스 같은 서비스가 많은 곳에서 만들어지는 것이었군요…
심지어 Brew로 설치도 가능하다니 이건 좀 놀랍군요.",@softk,2,2024-04-20T13:38:46Z
,,,,명령어로 영상편집이라니 진짜 편리하네요!,@jhj9398,3,2024-04-21T05:39:40Z
,,,,"아니 세상에.. 실화야....?
이런게 존재한다고....?
알려주셔서 감사합니다
항상 잘 보고 있어요",@저스트라구,1,2024-04-22T01:34:38Z
리눅스 해킹은 이렇게 하는거다..?!,57019,1306,2024-04-07T11:30:21Z,"📌 Databricks Data Intelligence Day 한국 이벤트 2024
- 4/23(화) 오전 9시 서울 코엑스 인터컨티넨탈 호텔
- 무료로 등록하기: https://dbricks.co/3Tbiz4T",@nomadcoders,10,2024-04-07T11:34:34Z
